ip,whois_network_age_days,port_count_bucket,has_non_web_ports,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_num_labels,dns_max_label_length,dns_label_entropy,dns_brand_plus_auth_combo,dns_has_brand_token,dns_suspicious_token_count,dns_has_digit_hyphen_pattern,dns_has_punycode,label
104.21.22.97,8.17948018535889,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,25,1.9735153502511393,0,0,5,1,1,1
172.67.188.91,8.081165777725433,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,24,1.9069678279156994,0,0,5,1,0,1
172.217.20.137,8.361240889642351,2_3,0,0,1,1,1,other,1,none_or_unknown,7.693025748417888,0.0,0,0,0.5999269939770031,1,3,16,2.1827478399303577,0,0,2,1,0,1
148.66.3.116,0.0,4_plus,1,1,0,1,0,common_self_managed,1,dv,6.738152494595957,0.6931471805599453,1,1,0.0,1,3,15,1.9402922664699622,0,0,0,0,0,1
31.7.65.251,6.315358001522335,4_plus,1,0,0,1,1,common_self_managed,1,dv,6.688354713946762,1.0986122886681096,1,1,0.0,1,3,16,1.7628833660903005,0,1,3,0,0,1
38.127.216.159,9.388402871849754,4_plus,1,1,0,1,1,common_self_managed,1,dv,6.7226297948554485,0.6931471805599453,1,1,0.0,1,3,13,1.9754592585155684,0,0,1,0,0,1
179.43.150.242,8.216898580913613,2_3,1,0,1,1,1,common_self_managed,1,dv,6.672032945461067,0.6931471805599453,1,1,0.0,1,4,12,1.7866452385073273,0,0,0,0,0,1
212.104.128.1,0.0,4_plus,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,20,2.0548629718955294,1,1,4,0,0,1
116.203.212.240,3.044522437723423,2_3,0,0,1,1,0,common_self_managed,1,dv,6.687108607866515,0.6931471805599453,1,1,0.0,1,8,11,1.7540349885217301,0,0,1,1,0,1
138.226.236.35,8.481980435660493,2_3,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,8,1.536528869408197,0,0,0,0,0,1
144.217.181.11,7.890956716138919,1,0,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,26,2.2736724521432046,0,0,2,1,0,1
82.39.117.59,0.0,4_plus,1,1,0,1,1,common_self_managed,1,dv,6.1070228877422545,0.6931471805599453,1,1,0.0,1,3,10,1.7346019496313538,0,0,1,0,0,1
103.255.47.24,0.0,2_3,0,0,0,1,1,common_self_managed,1,dv,6.8885724595653635,0.6931471805599453,1,0,0.0,1,3,11,1.498529239162119,0,0,3,1,0,1
43.162.115.222,0.0,2_3,1,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,19,2.533469967531393,0,0,3,1,0,1
185.199.111.153,7.805882040228621,2_3,0,0,0,1,1,edge_or_cdn,1,dv,6.680854678790215,1.0986122886681096,1,0,0.0,1,4,29,1.8066889117772011,0,1,5,1,0,1
72.21.210.29,8.845345196421732,1,0,0,0,1,0,other,0,none_or_unknown,0.0,0.0,0,0,0.0,1,4,24,1.9330993209376628,0,1,4,1,0,1
52.5.117.114,9.367515046348181,2_3,1,0,0,0,0,unknown,1,dv,6.906754778648554,1.0986122886681096,1,0,0.0,1,5,17,1.9893147025801545,0,1,3,1,0,1
5.57.226.200,8.260751354700513,2_3,0,1,0,1,1,common_self_managed,1,dv,6.661854740545311,0.6931471805599453,1,1,0.0,1,4,11,2.028738772955315,0,0,1,0,0,1
43.162.124.181,0.0,2_3,1,1,0,1,1,common_self_managed,1,dv,6.7357800142423265,0.6931471805599453,1,1,0.0,1,3,5,1.8550801724550632,0,0,2,0,0,1
69.164.211.158,5.932245187448011,4_plus,1,0,0,1,0,other,1,dv,6.966967138613983,1.3862943611198906,1,0,0.0,1,4,28,2.079624328853089,0,0,3,1,0,1
20.239.97.157,7.726212650507529,4_plus,1,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,17,1.5930461250917411,0,0,4,1,1,1
160.251.71.119,0.0,4_plus,1,0,0,1,1,common_self_managed,1,dv,6.977281341630747,0.6931471805599453,1,0,0.0,1,4,28,1.8533780945382201,0,1,5,1,0,1
195.88.211.226,0.0,4_plus,1,0,1,0,0,common_self_managed,1,dv,6.690842277418564,0.6931471805599453,1,1,0.0,1,5,49,1.859886416210851,0,0,3,1,0,1
37.27.37.67,3.044522437723423,2_3,1,1,0,1,0,common_self_managed,1,dv,6.679599185844383,0.6931471805599453,1,1,0.0,1,8,16,1.7749430790392442,0,0,1,1,0,1
