ip,whois_network_age_days,provider_is_hosting,num_distinct_ports,port_count_bucket,has_non_web_ports,http_observed,root_2xx_html,root_redirect_like,http_any_is_html,http_any_supports_http2,server_family,cert_present,cert_validation_group,cert_remaining_days,cert_chain_len,cert_recently_issued,cert_short_lived,cert_age_ratio,has_dns_names_data,dns_suspicious_token_count,dns_has_auth_token,dns_has_brand_token,dns_name_depth,dns_has_punycode,dns_has_digit_hyphen_pattern,label
52.5.117.114,9.367515046348181,1,1.3862943611198906,2_3,1,1,0,0,0,0,unknown,1,dv,6.906754778648554,1.0986122886681096,1,0,0.0,1,0,0,0,2.35,0,0,1
5.57.226.200,8.260751354700513,1,1.0986122886681096,2_3,0,1,1,0,1,1,common_self_managed,1,dv,6.661854740545311,0.6931471805599453,1,1,0.0,1,0,0,0,0.8333333333333334,0,0,1
43.162.124.181,0.0,0,1.3862943611198906,2_3,1,1,1,0,1,1,common_self_managed,1,dv,6.7357800142423265,0.6931471805599453,1,1,0.0,1,1,0,0,1.0,0,0,1
69.164.211.158,5.932245187448011,1,3.367295829986474,4_plus,1,1,0,0,1,0,other,1,dv,6.966967138613983,1.3862943611198906,1,0,0.0,1,1,1,0,1.0701754385964912,0,1,1
20.239.97.157,7.726212650507529,0,1.9459101490553132,4_plus,1,1,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,0,0,0.59,1,1,1
160.251.71.119,0.0,0,1.6094379124341003,4_plus,1,1,0,0,1,1,common_self_managed,1,dv,6.977281341630747,0.6931471805599453,1,0,0.0,1,3,0,1,0.56,0,1,1
195.88.211.226,0.0,0,3.4339872044851463,4_plus,1,1,0,1,0,0,common_self_managed,1,dv,6.690842277418564,0.6931471805599453,1,1,0.0,1,1,0,0,1.37,0,1,1
37.27.37.67,3.044522437723423,1,1.3862943611198906,2_3,1,1,1,0,1,0,common_self_managed,1,dv,6.679599185844383,0.6931471805599453,1,1,0.0,1,0,0,0,0.5,0,0,1
91.240.21.9,7.328437352895162,0,1.3862943611198906,2_3,1,1,0,1,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,1,0,1.4787234042553192,0,1,1
176.53.12.17,7.71289096149013,0,2.995732273553991,4_plus,1,1,1,0,1,0,common_self_managed,1,dv,5.968707559985366,1.0986122886681096,1,1,0.0,1,1,0,0,0.84,0,0,1
190.92.174.125,0.0,0,3.258096538021482,4_plus,1,1,1,0,1,0,common_self_managed,1,dv,0.0,1.0986122886681096,0,1,1.0,1,2,0,0,1.07,0,0,1
43.157.61.30,0.0,0,1.0986122886681096,2_3,1,1,1,0,1,0,common_self_managed,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,0,0,0.0,0,0,1
182.16.78.67,0.0,0,1.9459101490553132,4_plus,1,1,1,0,1,0,common_self_managed,1,dv,6.733401891837359,0.6931471805599453,1,1,0.0,1,1,0,0,0.5625,0,0,1
144.172.94.39,0.0,1,1.3862943611198906,2_3,1,1,1,0,1,0,common_self_managed,1,none_or_unknown,8.388222810119277,0.0,1,0,0.0,1,0,0,0,0.0,0,0,1
158.252.21.145,0.0,1,1.3862943611198906,2_3,1,1,0,0,1,0,common_self_managed,0,none_or_unknown,0.0,0.0,0,0,0.0,1,0,0,0,0.5,0,0,1
82.39.117.51,0.0,0,1.6094379124341003,4_plus,1,1,1,0,1,1,common_self_managed,1,dv,6.1070228877422545,0.6931471805599453,1,1,0.0,1,0,0,0,0.6666666666666666,0,0,1
212.104.128.2,0.0,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,1,1,0.09,0,0,1
47.77.231.95,7.954021087278037,0,1.3862943611198906,2_3,1,1,1,0,1,0,common_self_managed,1,dv,6.744059186311348,0.6931471805599453,1,1,0.0,1,1,0,0,0.0,0,0,1
192.236.147.234,8.264878262801748,0,2.995732273553991,4_plus,1,1,1,0,1,1,common_self_managed,1,dv,7.005789019253503,1.0986122886681096,1,0,0.0,1,0,0,0,0.75,0,1,1
76.223.105.230,7.688455356549944,1,1.0986122886681096,2_3,0,1,0,0,0,0,unknown,1,dv,6.925595197110468,0.6931471805599453,1,0,0.0,1,1,0,0,0.66,0,0,1
181.174.165.110,8.214465160759186,0,2.70805020110221,4_plus,1,1,0,1,1,1,common_self_managed,1,none_or_unknown,7.022868086082641,0.0,1,0,0.0,1,0,0,0,0.5,0,0,1
103.153.182.197,0.0,1,3.1780538303479458,4_plus,1,1,1,0,1,0,common_self_managed,1,dv,5.937536205082426,0.6931471805599453,1,1,0.0,1,4,1,1,0.54,0,1,1
172.67.142.242,8.081165777725433,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,3,1,0,0.69,0,1,1
101.32.98.175,0.0,0,1.3862943611198906,2_3,1,1,0,0,1,0,common_self_managed,1,dv,6.982862751468942,1.3862943611198906,1,0,0.0,1,0,0,0,0.0,0,0,1
47.243.89.52,0.0,0,1.6094379124341003,4_plus,1,1,0,1,1,1,common_self_managed,1,dv,6.747586526829315,0.6931471805599453,1,1,0.0,1,0,0,0,0.42857142857142855,0,0,1
172.67.183.83,8.081165777725433,1,2.639057329615259,4_plus,1,1,0,0,1,0,edge_or_cdn,0,none_or_unknown,0.0,0.0,0,0,0.0,1,2,0,0,0.57,1,1,1
216.40.34.41,9.060331104649475,0,0.6931471805599453,1,0,1,0,0,0,0,unknown,0,none_or_unknown,0.0,0.0,0,0,0.0,1,1,1,0,1.0,0,1,1
170.75.163.162,8.158229916959494,0,1.3862943611198906,2_3,1,1,1,0,1,0,common_self_managed,1,dv,6.690842277418564,0.6931471805599453,1,1,0.0,1,0,0,0,1.0,0,0,1
78.47.146.138,8.449770515098804,1,1.6094379124341003,4_plus,1,1,1,0,1,0,common_self_managed,1,dv,6.728628613084702,0.6931471805599453,1,1,0.0,1,1,0,0,1.27,0,0,1
188.114.96.7,8.006367567650246,1,2.639057329615259,4_plus,1,1,0,0,1,1,edge_or_cdn,1,dv,6.726233402358747,1.0986122886681096,1,1,0.0,1,2,0,0,0.8333333333333334,0,0,1
