feature,coef_mean,coef_std,coef_cv,abs_coef_mean,is_stable,is_important
num__has_non_web_ports,0.2380961345532851,0.010815632684952798,0.045425486244222484,0.2380961345532851,True,True
num__whois_network_age_days,-0.1534226790250095,0.013278139993365782,0.08654613566747395,0.1534226790250095,True,False
num__root_2xx_html,0.15153528278946543,0.0066428234128411996,0.04383681008514937,0.15153528278946543,True,False
cat__port_count_bucket_4_plus,0.08895957824674858,0.005390769489323155,0.060597965902791186,0.08895957824674858,True,False
cat__cert_validation_group_ov_ev,-0.08697583540841576,0.005165869720614015,0.05939430988338821,0.08697583540841576,True,False
cat__port_count_bucket_2_3,-0.07984521289547994,0.0038983456367952156,0.04882378661696701,0.07984521289547994,True,False
cat__cert_validation_group_dv,0.06698310436096022,0.010301698532555465,0.15379547769302263,0.06698310436096022,True,False
num__cert_remaining_days,-0.058719605819046394,0.010324687657063958,0.1758303298029808,0.058719605819046394,True,False
cat__server_family_common_self_managed,0.057664799198610214,0.009774286208395775,0.1695017817495729,0.057664799198610214,True,False
num__http_any_supports_http2,-0.054623036381859724,0.009406062816232557,0.17219955973293907,0.054623036381859724,True,False
num__cert_short_lived,0.04857786684547783,0.03250669983956743,,0.04857786684547783,True,False
cat__server_family_other,-0.04543909666095079,0.008888981678456146,,0.04543909666095079,True,False
num__cert_chain_len,-0.04533165242930489,0.012548120233706186,,0.04533165242930489,True,False
num__cert_present,-0.04175434259130973,0.01127720248552257,,0.04175434259130973,True,False
num__dns_suspicious_token_count,0.041543963497304735,0.006461658489781213,,0.041543963497304735,True,False
num__root_redirect_like,-0.03454207409450409,0.008601341899456052,,0.03454207409450409,True,False
num__dns_has_brand_token,0.03260738914666899,0.008156947792722594,,0.03260738914666899,True,False
num__dns_num_labels,0.02727140231995572,0.020798922090892326,,0.02727140231995572,True,False
num__dns_max_label_length,0.02720598651559576,0.010174213789940196,,0.02720598651559576,True,False
num__cert_recently_issued,-0.026103438415565505,0.008291048475855555,,0.026103438415565505,True,False
num__dns_label_entropy,-0.021679983140831756,0.012603756556990668,,0.021679983140831756,True,False
num__has_dns_names_data,0.0207023581937961,0.01657111884430179,,0.0207023581937961,True,False
cat__cert_validation_group_none_or_unknown,0.019941475884805195,0.0052444869452106906,,0.019941475884805195,True,False
num__dns_has_digit_hyphen_pattern,-0.018701969336515627,0.008886338147389736,,0.018701969336515627,True,False
num__cert_age_ratio,-0.016124336208704813,0.014200995419884718,,0.016124336208704813,True,False
cat__server_family_unknown,-0.01025737292341032,0.00817819034798748,,0.01025737292341032,True,False
cat__port_count_bucket_1,-0.009165620513918978,0.004661400621931543,,0.009165620513918978,True,False
num__http_any_is_html,0.006793003067293567,0.005147185572337759,,0.006793003067293567,True,False
num__dns_has_punycode,0.003641610055011831,0.01752790629049826,,0.003641610055011831,True,False
cat__server_family_edge_or_cdn,-0.002019584776899516,0.005403416451227429,,0.002019584776899516,True,False
num__dns_brand_plus_auth_combo,-0.0012951278414414888,0.0069347064368812964,,0.0012951278414414888,True,False
