mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.01709146499633789,0.003907595446174512,0.010109901428222656,0.004167727675850585,0.01,0.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0}",0.890625,0.8916666666666666,0.8166666666666667,0.9833333333333333,0.8583333333333334,0.8881249999999999,0.054913125834256483,1,0.9075520833333333,0.9149590163934427,0.9257172131147542,0.8975409836065574,0.9275102459016393,0.9146559084699455,0.01123444088788918
0.01801447868347168,0.010453657668624616,0.008136177062988281,0.003729245376981046,0.01,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,10,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.017169904708862305,0.001374432825887522,0.008115720748901368,0.0008611361100630344,0.1,0.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.0}",0.89453125,0.8833333333333333,0.825,0.9833333333333333,0.8458333333333334,0.88640625,0.054565936317908056,2,0.9291666666666667,0.9449282786885246,0.9421106557377049,0.9200819672131147,0.9495389344262295,0.9371653005464481,0.01089628931988764
0.014284133911132812,0.002356152251535854,0.007484912872314453,0.0005408166933819537,0.1,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 1.0}",0.85546875,0.8666666666666667,0.8833333333333333,0.9520833333333334,0.8166666666666669,0.8748437500000001,0.0444181372880368,3,0.8993489583333334,0.8762807377049181,0.9008709016393444,0.8551485655737705,0.8888319672131146,0.8840962260928962,0.0169440947395721
0.022766828536987305,0.005216638669080824,0.008241510391235352,0.001743021299355699,1.0,0.0,"{'clf__C': 1, 'clf__l1_ratio': 0.0}",0.8984375,0.8333333333333334,0.8208333333333333,0.9666666666666667,0.8458333333333334,0.8730208333333334,0.05376493655513579,5,0.94921875,0.9723360655737705,0.9559426229508197,0.9418545081967213,0.9736168032786885,0.95859375,0.012567137167413554
0.04433383941650391,0.016933208462446555,0.006882190704345703,0.0007826070593020686,1.0,1.0,"{'clf__C': 1, 'clf__l1_ratio': 1.0}",0.90234375,0.8291666666666666,0.8291666666666667,0.9708333333333333,0.8416666666666667,0.8746354166666667,0.05521511357736313,4,0.9414062499999999,0.9672131147540983,0.9477459016393442,0.9375,0.9715676229508197,0.9530865778688525,0.013776809231937892
0.04269108772277832,0.005583112368056532,0.006538200378417969,0.0001858675155367617,10.0,0.0,"{'clf__C': 10, 'clf__l1_ratio': 0.0}",0.89453125,0.8,0.825,0.9541666666666666,0.8291666666666667,0.8605729166666667,0.056274011078975554,6,0.9554687500000001,0.9779713114754098,0.9600409836065573,0.9477459016393442,0.9805327868852459,0.9643519467213114,0.01281064405052757
0.08536319732666016,0.030932642422068123,0.005875825881958008,0.0008558123551969725,10.0,1.0,"{'clf__C': 10, 'clf__l1_ratio': 1.0}",0.89453125,0.8041666666666667,0.8250000000000001,0.9541666666666666,0.7958333333333333,0.8547395833333333,0.0606318903587231,7,0.9567708333333333,0.977202868852459,0.9605532786885245,0.9492827868852458,0.9807889344262295,0.9649197404371584,0.012105300930611023
0.17581911087036134,0.035031427385019576,0.004393148422241211,0.0008842303408854329,100.0,0.0,"{'clf__C': 100, 'clf__l1_ratio': 0.0}",0.890625,0.8,0.8041666666666667,0.9583333333333334,0.8041666666666667,0.8514583333333334,0.06336758941989895,8,0.9575520833333333,0.978483606557377,0.9590163934426229,0.9513319672131147,0.9805327868852459,0.9653833674863387,0.011835796478810934
0.19438886642456055,0.008979203974879143,0.003992652893066407,0.000534314932312416,100.0,1.0,"{'clf__C': 100, 'clf__l1_ratio': 1.0}",0.890625,0.8,0.8041666666666667,0.9583333333333334,0.8,0.8506250000000002,0.06400819175004954,9,0.9588541666666666,0.9787397540983607,0.9590163934426229,0.9526127049180328,0.9805327868852459,0.9659511612021857,0.01142405065802402
