feature,coef_mean,coef_std,coef_cv,abs_coef_mean,is_stable,is_important
num__has_non_web_ports,0.5148466177893408,0.037942432014980855,0.07369657428827806,0.5148466177893408,True,True
num__whois_network_age_days,-0.45883723619992783,0.04645708182003108,0.10124958951628867,0.45883723619992783,True,True
num__root_2xx_html,0.43580780313493667,0.04222036074450166,0.09687839556977645,0.43580780313493667,True,True
cat__cert_validation_group_ov_ev,-0.35532440802089676,0.04454370804397253,0.12536067615527524,0.35532440802089676,True,True
num__num_distinct_ports,0.3532863151383326,0.04679911185144943,0.13246794411814336,0.3532863151383326,True,True
cat__cert_validation_group_dv,0.294184412286197,0.04422370168551714,0.1503264613574908,0.294184412286197,True,True
num__http_any_is_html,-0.2457759357888328,0.04370306272295749,0.17781668731192032,0.2457759357888328,True,True
num__has_dns_names_data,0.24310993935796307,0.04132313532554354,0.16997715286621004,0.24310993935796307,True,True
num__cert_chain_len,-0.23389091229828818,0.038433445361210655,0.16432209778289852,0.23389091229828818,True,True
cat__server_family_common_self_managed,0.22749791422509688,0.05417099467340016,0.2381164454096968,0.22749791422509688,True,True
num__dns_has_auth_token,-0.1991174081711769,0.05105587349411718,0.2564108982888405,0.1991174081711769,True,False
num__dns_suspicious_token_count,0.18320276323502074,0.024291382896269396,0.13259288488518767,0.18320276323502074,True,False
cat__server_family_other,-0.17331330839172168,0.029237109971438132,0.1686951235467538,0.17331330839172168,True,False
num__cert_remaining_days,-0.15064088142301485,0.02442181946375526,0.1621194673919646,0.15064088142301485,True,False
cat__port_count_bucket_2_3,-0.14194972329358818,0.010542322335433327,0.07426800201384767,0.14194972329358818,True,False
cat__port_count_bucket_4_plus,0.13945821543786216,0.018545136075993413,0.13297987513870416,0.13945821543786216,True,False
num__http_any_supports_http2,-0.12798467494934063,0.0573032079332474,0.44773491791833175,0.12798467494934063,True,False
num__provider_is_hosting,0.10333116986691677,0.05191928101394166,0.5024551747629492,0.10333116986691677,False,False
num__dns_has_digit_hyphen_pattern,-0.09397534768031073,0.02974088188102041,0.31647535885894446,0.09397534768031073,True,False
num__http_observed,0.09030411798918911,0.06340959270478624,0.7021783072215756,0.09030411798918911,False,False
cat__server_family_edge_or_cdn,-0.07976555869904853,0.023116387283189408,0.28980411671666945,0.07976555869904853,True,False
num__root_redirect_like,-0.0643484167663467,0.034888898352509023,0.5421873622655378,0.0643484167663467,False,False
cat__cert_validation_group_none_or_unknown,0.0604016800838568,0.007893015574774556,0.13067543094524078,0.0604016800838568,True,False
num__cert_present,-0.058941679786557934,0.03763613510869664,0.6385317697932292,0.058941679786557934,False,False
num__dns_name_depth,0.054974914313422926,0.0977435551490678,1.7779664847099594,0.054974914313422926,False,False
num__cert_recently_issued,-0.049815346040857175,0.03551912917830989,,0.049815346040857175,True,False
num__cert_short_lived,0.04637388982369142,0.12377934624696933,,0.04637388982369142,True,False
num__dns_has_brand_token,-0.045319811578684144,0.011410333891218826,,0.045319811578684144,True,False
num__dns_has_punycode,-0.03922179916317799,0.07423990698272462,,0.03922179916317799,True,False
num__cert_age_ratio,0.03358906949597825,0.08023885109195848,,0.03358906949597825,True,False
cat__server_family_unknown,0.02484263721483013,0.07444020591719468,,0.02484263721483013,True,False
cat__port_count_bucket_1,0.0017531922048818975,0.018601793461802914,,0.0017531922048818975,True,False
