feature,coefficient,abs_coefficient
num__has_non_web_ports,0.5350469035158832,0.5350469035158832
num__whois_network_age_days,-0.4965434678319931,0.4965434678319931
num__root_2xx_html,0.4674872683451952,0.4674872683451952
cat__cert_validation_group_ov_ev,-0.40824567299777414,0.40824567299777414
num__num_distinct_ports,0.3713836648691077,0.3713836648691077
cat__cert_validation_group_dv,0.3423437768972469,0.3423437768972469
num__http_any_is_html,-0.30036902020791123,0.30036902020791123
num__cert_chain_len,-0.27431919728547854,0.27431919728547854
cat__server_family_common_self_managed,0.26327242915536303,0.26327242915536303
num__has_dns_names_data,0.2565030256166277,0.2565030256166277
num__dns_has_auth_token,-0.2284717110773558,0.2284717110773558
num__dns_suspicious_token_count,0.21141836426218294,0.21141836426218294
cat__server_family_other,-0.19979570469248747,0.19979570469248747
num__cert_remaining_days,-0.16541437220616934,0.16541437220616934
cat__port_count_bucket_2_3,-0.14594916582646314,0.14594916582646314
cat__port_count_bucket_4_plus,0.1388083785169297,0.1388083785169297
num__http_any_supports_http2,-0.13079939023803888,0.13079939023803888
num__provider_is_hosting,0.11030279424412605,0.11030279424412605
num__http_observed,0.1074374065380411,0.1074374065380411
num__dns_has_digit_hyphen_pattern,-0.10550940811719665,0.10550940811719665
cat__server_family_edge_or_cdn,-0.0975600573877263,0.0975600573877263
num__root_redirect_like,-0.07011167163792632,0.07011167163792632
num__cert_age_ratio,0.06705612104519328,0.06705612104519328
cat__cert_validation_group_none_or_unknown,0.06512998831349577,0.06512998831349577
num__dns_name_depth,0.057396731405715724,0.057396731405715724
num__dns_has_brand_token,-0.052526043670505417,0.052526043670505417
num__cert_present,-0.04725047866595398,0.04725047866595398
num__cert_recently_issued,-0.0431689627232367,0.0431689627232367
num__dns_has_punycode,-0.042591556960042846,0.042591556960042846
num__cert_short_lived,0.03611172903479657,0.03611172903479657
cat__server_family_unknown,0.033311425137820316,0.033311425137820316
cat__port_count_bucket_1,0.006368879522503104,0.006368879522503104
