mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.019475269317626952,0.0032564074532318793,0.008754968643188477,0.0014293027380514337,0.01,0.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.0}",0.82421875,0.90625,0.725,0.9333333333333333,0.8666666666666667,0.8510937500000001,0.07303420586064072,8,0.88046875,0.8986936475409836,0.9063780737704917,0.8872950819672132,0.8960040983606559,0.8937679303278688,0.009022691599197814
0.015195131301879883,0.0007998960313054116,0.007465839385986328,0.00042674378899820275,0.01,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,10,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.01821269989013672,0.001396693557698901,0.0082366943359375,0.0008759368211277324,0.1,0.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.0}",0.8828125,0.88125,0.7916666666666667,0.9291666666666667,0.8791666666666668,0.8728125,0.044658717420752975,4,0.9213541666666667,0.9417264344262295,0.9424948770491803,0.9182889344262295,0.938780737704918,0.9325290300546447,0.010494304143522893
0.014817476272583008,0.000798779199223246,0.007370138168334961,0.0004805765064534226,0.1,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 1.0}",0.79296875,0.8916666666666666,0.7208333333333334,0.9208333333333334,0.7666666666666666,0.81859375,0.0757664110614914,9,0.8644531249999999,0.8356813524590164,0.8888319672131149,0.8472079918032788,0.8757684426229507,0.8623885758196721,0.019111577946852015
0.024499988555908202,0.0034207167386080518,0.007525825500488281,0.00046357885845554355,1.0,0.0,"{'clf__C': 1, 'clf__l1_ratio': 0.0}",0.9296875,0.8500000000000001,0.825,0.9458333333333333,0.8666666666666667,0.8834375,0.04657589758782014,2,0.9523437499999998,0.9737448770491803,0.9663165983606556,0.9497950819672131,0.9664446721311475,0.9617289959016393,0.009145121549808798
0.06668076515197754,0.012206566139204234,0.007425355911254883,0.0020102201971085,1.0,1.0,"{'clf__C': 1, 'clf__l1_ratio': 1.0}",0.96875,0.8645833333333333,0.8375,0.95,0.8708333333333333,0.8983333333333334,0.051427538018717814,1,0.9484375,0.9702868852459017,0.9605532786885247,0.9451844262295082,0.9636270491803278,0.9576178278688525,0.009424441874327064
0.09367532730102539,0.02046062148556586,0.007047462463378906,0.0005909410485214358,10.0,0.0,"{'clf__C': 10, 'clf__l1_ratio': 0.0}",0.8984375,0.8395833333333333,0.8083333333333333,0.9166666666666666,0.8958333333333334,0.8717708333333333,0.04090501785980676,6,0.9684895833333332,0.9898821721311475,0.9816854508196721,0.9718237704918031,0.9805327868852458,0.9784827527322404,0.007597527977093863
0.26994881629943845,0.0423646993788817,0.004676914215087891,0.0006724033360068272,10.0,1.0,"{'clf__C': 10, 'clf__l1_ratio': 1.0}",0.90625,0.8229166666666667,0.8416666666666667,0.9291666666666667,0.8958333333333334,0.8791666666666667,0.0402034755269298,3,0.9760416666666667,0.9952612704918032,0.9841188524590163,0.9800204918032787,0.9879610655737705,0.9846806693989072,0.0066238263904703325
0.2429013729095459,0.028411931541423886,0.005266523361206055,0.0007980331721528879,100.0,0.0,"{'clf__C': 100, 'clf__l1_ratio': 0.0}",0.8984375,0.8166666666666667,0.8416666666666667,0.9,0.9,0.8713541666666667,0.0353461307406247,7,0.9763020833333333,0.9967981557377049,0.9901383196721312,0.9828381147540983,0.9905225409836066,0.9873198428961748,0.007064225557296765
0.31127128601074217,0.013273468391606875,0.004237842559814453,0.000131495435345275,100.0,1.0,"{'clf__C': 100, 'clf__l1_ratio': 1.0}",0.90234375,0.8104166666666667,0.85,0.9,0.9,0.8725520833333335,0.03677968495915163,5,0.9796875,0.9985911885245902,0.9916752049180327,0.984375,0.9930840163934426,0.9894825819672131,0.006674963116665247
