feature,coef_mean,coef_std,coef_cv,abs_coef_mean,is_stable,is_important
cat__cert_validation_level_ov,-1.4698197461725084,0.28122788213413485,0.19133494625206102,1.4698197461725084,True,True
num__num_distinct_ports,1.4669702917733534,0.22580020937238432,0.1539228235490882,1.4669702917733534,True,True
cat__http_any_status_class_2xx,1.2302298695029807,0.3094509190560892,0.25153910397339724,1.2302298695029807,True,True
cat__web_server_other,-1.050233697999592,0.26547492722106053,0.2527770035628429,1.050233697999592,True,True
cat__web_server_nginx,0.7886870702510655,0.5251581256763003,0.6658637442973736,0.7886870702510655,False,True
num__cert_age_days,0.7217737739473845,0.24926471407514778,0.34535019568793385,0.7217737739473845,True,True
num__whois_network_age_days,-0.7065860089706414,0.15600734203426342,0.22079030727134807,0.7065860089706414,True,True
num__cert_remaining_days,-0.7025656304379724,0.07476728476719277,0.1064203563738004,0.7025656304379724,True,True
num__http_any_is_html,-0.6263942946486531,0.11305724950169112,0.18048895155583328,0.6263942946486531,True,True
num__cert_chain_len,-0.6044828018838759,0.15030214317386667,0.24864585511026738,0.6044828018838759,True,True
cat__cert_validation_level_dv,0.5198402896116627,0.3226857369285943,0.6207401453428145,0.5198402896116627,False,True
cat__web_server_cloudflare,-0.3491891785966957,0.29875923421879425,0.8555798762706026,0.3491891785966957,False,True
num__dns_has_suspicious_tokens,0.3394869473944618,0.21405893069389734,0.6305365562263422,0.3394869473944618,False,True
num__cert_is_letsencrypt,0.21484425452056694,0.11856876465065727,0.551882408562649,0.21484425452056694,False,True
num__http_any_supports_http2,-0.21459281329904362,0.05700107560337136,0.2656243456016306,0.21459281329904362,True,True
num__provider_is_hosting,-0.1853420019941821,0.21704450087070773,1.171048648096079,0.1853420019941821,False,False
num__has_reverse_dns,0.17484501104152544,0.10564636666862959,0.6042286596529696,0.17484501104152544,False,False
num__http_any_redirect_like,-0.16889434308051363,0.12171074611022532,0.7206324610422541,0.16889434308051363,False,False
num__has_443,-0.1296789854309412,0.0884291036858719,0.6819077384975658,0.1296789854309412,False,False
num__http_any_meta_refresh,0.08120757006743777,0.15661116487204,1.9285291351777216,0.08120757006743777,False,False
num__cert_is_wildcard,-0.08031189015548293,0.09052435222546446,1.127160026369823,0.08031189015548293,False,False
num__http_root_any_present,0.07259652183984334,0.10552653135271886,1.4536031297136118,0.07259652183984334,False,False
num__bgp_prefix_len,0.05574763735320337,0.09977321731326948,1.789729969740795,0.05574763735320337,False,False
cat__web_server_unknown,0.04823023103097413,0.09646046206194826,,0.04823023103097413,True,False
num__http_any_body_size,0.04356633153868407,0.08713266307736814,,0.04356633153868407,True,False
num__cert_san_count,-0.03052930376462254,0.03760361904455943,,0.03052930376462254,True,False
num__has_80,0.024344602889172885,0.032040692604396,,0.024344602889172885,True,False
num__https_only,-0.018925696382322537,0.044355643066463245,,0.018925696382322537,True,False
num__num_dns_names_capped,0.006710402779963315,0.01342080555992663,,0.006710402779963315,True,False
cat__web_server_apache,0.0,0.0,,0.0,True,False
cat__continent_South America,0.0,0.0,,0.0,True,False
cat__continent_Europe,0.0,0.0,,0.0,True,False
cat__continent_Asia,0.0,0.0,,0.0,True,False
cat__continent_North America,0.0,0.0,,0.0,True,False
cat__web_server_iis,0.0,0.0,,0.0,True,False
cat__http_any_status_class_0,0.0,0.0,,0.0,True,False
cat__http_any_status_class_4xx,0.0,0.0,,0.0,True,False
cat__cert_validation_level_unknown,0.0,0.0,,0.0,True,False
cat__http_any_status_class_3xx,0.0,0.0,,0.0,True,False
cat__http_any_status_class_5xx,0.0,0.0,,0.0,True,False
cat__cert_validation_level_none,0.0,0.0,,0.0,True,False
cat__cert_validation_level_ev,0.0,0.0,,0.0,True,False
num__cert_lifetime_days,0.0,0.0,,0.0,True,False
